"","V1"
"VEZT",9.2971
"POU2F2",0.7053
"BRD9",2.6039
"SNX1",15.2655
"TBPL1",3.8855
"ARNTL2",0.4034
"BCLAF1",15.5003
"SLC39A9",24.2211
"ANK1",0.1047
"IBSP",2.7967
"TFB1M",2.4321
"RABEP1",5.0078
"HMGB3",38.0727
"NUP160",4.2781
"BAK1",9.6845
"MUSK",0.0057
"IKZF2",0.4589
"GRN",95.9803
"FAM13B",4.3241
"ARHGAP31",2.3001
"CENPQ",3.5056
"SARS1",41.7741
"RANBP3",10.7645
"ARID4A",1.7647
"EIPR1",5.3201
"PNPLA6",6.3351
"IFT88",3.8375
"ALG1",3.2413
"ZCCHC8",4.3713
"ABCF2",6.9276
"CHPF2",15.1676
"LRRC7",0.0116
"FUT8",8.8461
"UBA6",2.3808
"GAB2",3.9832
"ATP6V0A1",6.2273
"PIAS1",2.7911
"SLC4A7",2.0867
"APBA2",2.9238
"MAP2K3",10.677
"EFCAB1",0.5973
"TMSB10",5879.9895
"ASTE1",2.6486
"RNF19A",8.6792
"PEX3",5.7387
"GABARAPL2",17.9427
"MYOC",0.0248
"SH3YL1",8.1739
"FAM136A",13.7708
"VCL",19.6
"DEPDC1B",1.5305
"DAPK2",0.8699
"NSMAF",8.5419
"ADSS2",31.426
"STAP1",0.6952
"TIMP2",71.9388
"RFC1",4.4848
"TBC1D23",6.8061
"CUL3",3.1285
"MYOM2",0.1158
"OTC",0
"CYP46A1",0.0966
"ZZZ3",5.3662
"SLC18A1",0
"USP2",1.2686
"CASR",0
"TUBG2",4.414
"RPL26L1",26.5901
"FLT4",1.3672
"NSUN2",12.8722
"FBXO42",4.6901
"MFAP3",1.3049
"MRI1",1.6054
"METTL1",24.0237
"HOXC8",7.4171
"AGA",5.9006
"PI4K2B",4.3128
"BOD1L1",1.6224
"MAT2B",14.4557
"TLL1",0.3239
"EDC4",3.0528
"TRIO",3.5682
"VCAN",21.0155
"CLEC16A",2.5062
"MSR1",4.2447
"CDH1",61.7546
"MTREX",10.5529
"DNAH5",0.4053
"ZFYVE16",1.1663
"RIPOR1",5.9408
"C6",0.1575
"RAI14",6.4153
"SOX30",0.0399
"PNKP",6.653
"BEST2",0
"PHLPP2",0.6291
"SPDL1",3.4631
"STAU2",6.4245
"SLC66A1",12.5006
"CTNS",2.7721
"RTN4R",4.8282
"PHF23",20.722
"CDH10",0
"INPP4A",1.9209
"RAB27B",2.2458
"PSMA4",44.1591
"MYO16",0.0533
"LSG1",14.3459
"PARP3",16.0639
"TNC",195.0779
"THAP3",5.6665
"RIPOR3",0.8545
"TDP1",5.5884
"AIFM2",6.4473
"C2orf83",0.005
"SPATA7",1.422
"MED17",0.3601
"RETSAT",38.6671
"CAPG",73.3192
"AP2S1",105.3557
"USH2A",0.011
"ZPBP",0.0265
"TG",0.3327
"ADAM28",0.2426
"BARX2",1.1076
"DCUN1D1",6.7464
"JADE2",3.6195
"ZIC2",0.0581
"LCP2",2.5587
